# id	left	top	right	bottom	texture_id
[SPRITES]
60000	48	0	63	15	21
60001	64	0	79	15	21
60002	48	16	63	31	21
60003	64	16	79	31	21
60004	32	16	47	31	21
60005	32	32	47	47	21
60006	48	32	63	47	21
60007	64	32	79	47	21
# BOX COLOR LIGHT ORANGE
60008	0	48	15	63	21
60009	16	48	31	63	21
60010	32	48	47	63	21
60011	0	64	15	79	21
60012	16	64	31	79	21
60013	32	64	47	79	21
60014	0	80	15	95	21
60015	16	80	31	95	21
60016	32	80	47	95	21
# BOX COLOR LIGHT BLUE
60017	48	48	63	63	21
60018	64	48	79	63	21
60019	80	48	95	63	21
60020	48	64	63	79	21
60021	64	64	79	79	21
60022	80	64	95	79	21
60023	48	80	63	95	21
60024	64	80	79	95	21
60025	80	80	95	95	21
# BOX COLOR WHITE
60026	80	0	95	15	21
60027	96	0	111	15	21
60028	112	0	127	15	21
60029	80	16	95	31	21
60030	96	16	111	31	21
60031	112	16	127	31	21
60032	80	32	95	47	21
60033	96	32	111	47	21
60034	112	32	127	47	21
# BOX COLOR GREEN
60035	128	0	143	15	21
60036	144	0	159	15	21
60037	160	0	175	15	21
60038	128	16	143	31	21
60039	144	16	159	31	21
60040	160	16	175	31	21
60041	128	32	143	47	21
60042	144	32	159	47	21
60043	160	32	175	47	21
# SHADOW - VERTICAL
60044	144	48	159	63	21
60045	144	64	159	79	21
60046	144	80	159	95	21
# CLOUD
60047	80	96	95	111	21
60048	96	96	111	111	21
60049	112	96	127	111	21
60050	80	112	95	127	21
60051	96	112	111	127	21
60052	112	112	127	127	21
# SHADOW - HORIZONTAL
60053	128	96	143	111	21
60054	144	96	159	111	21
# LAST SEGMENT OF WORLD 1-1
60055	160	80	175	95	21
60056	160	64	175	79	21
60057	3	115	28	140	21
60058	32	112	47	127	21
60059	48	112	63	127	21
60060	32	128	47	143	21
60061	48	128	63	143	21

# WORLD MAP 1
60062	4	310	19	325	23
60063	21	310	36	325	23
60064	38	310	53	325	23
60065	55	310	70	325	23

60066	72	310	87	325	23

60067	89	310	104	325	23

60068	192	32	207	47	21
60069	208	32	223	47	21
60070	224	32	239	47	21
60071	224	48	239	63	21

60072	224	64	239	79	21
60073	192	64	207	79	21

# WORLD MAP BORDER
60074	321	492	328	499	23
60075	330	492	337	499	23
60076	339	492	346	499	23
60077	339	501	346	508	23
60078	321	501	328	508	23
60079	321	510	328	517	23
60080	330	510	337	517	23
60081	339	510	346	517	23

# TOP OF CASTLE
60082	106	177	121	192	23

# PATH
60084	4	227	19	242	23
60085	21	227	36	242	23

# HELP ANIMATION
60086	123	177	138	192	23
60087	134	196	149	211	23

# CHECKED FLOOR IN INTRO
60088	176	91	207	126	21

# TITLE
60089	0	145	179	216	21

# NUMBER 3 IN TITLE
60090	192	128	233	167	21
60091	240	128	281	167	21
60092	208	80	249	119	21
60093	256	80	297	119	21

# LEFT TREE IN TITLE SCREEN
60094	240	0	303	65	21

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
20000	60062	250	60063	250	60064	250	60065	250
20001	60086	750	60087	200

# NUMBER 3 IN TITLE
20002	60090	125	60091	125	60092	125	60093	125
