# id	left	top	right	bottom	texture_id
[SPRITES]
# 0 - 9
42000	77	31	84	38	20
42001	87	31	94	38	20
42002	97	31	104	38	20
42003	107	31	114	38	20
42004	117	31	124	38	20
42005	127	31	134	38	20
42006	137	31	144	38	20
42007	147	31	154	38	20
42008	157	31	164	38	20
42009	167	31	174	38	20
# A - Z
42010	177	31	184	38	20
42011	187	31	194	38	20
42012	77	41	84	48	20
42013	87	41	94	48	20
42014	97	41	104	48	20
42015	107	41	114	48	20
42016	117	41	124	48	20
42017	127	41	134	48	20
42018	137	41	144	48	20
42019	147	41	154	48	20
42020	157	41	164	48	20
42021	167	41	174	48	20
42022	177	41	184	48	20
42023	187	41	194	48	20
42024	77	51	84	58	20
42025	87	51	94	58	20
42026	97	51	104	58	20
42027	107	51	114	58	20
42028	117	51	124	58	20
42029	127	51	134	58	20
42030	137	51	144	58	20
42031	147	51	154	58	20
42032	157	51	164	58	20
42033	167	51	174	58	20
42034	177	51	184	58	20
42035	187	51	194	58	20

# SPECIAL CHARACTER: !
42036	84	85	91	92	22
