# id	left	top	right	bottom	texture_id
[SPRITES]
# WORLD LEVEL 1 TO 6
51000	4	143	19	158	23
51001	21	143	36	158	23
51002	38	143	53	158	23
51003	55	143	70	158	23
51004	72	143	87	158	23
51005	89	143	104	158	23
51006	106	143	121	158	23

# WORLD LEVEL FINISHED
51007	4	160	19	175	23

# GACHA NODE
51008	140	160	155	175	23

# FORTRESS
51009	157	160	172	175	23

# LOCKED GATE
51010	4	177	19	192	23

# TOAD HOUSE
51011	21	177	36	192	23

# CASTLE
51012	89	177	104	192	23

# PATH NODE
51013	38	227	53	242	23
51014	55	227	70	242	23
51015	72	227	87	242	23
51016	89	227	104	242	23
